Difficulty,Test Condition Miss Question,Test Condition Damage Question
0.525,"Position vector:
\[ \vec{R} = <Replace>\hat{\imath} + <Replace>\hat{\jmath} + <Replace>\hat{k} \, \text{km} \]

Velocity vector:
\[ \vec{V} = 4.17\hat{\imath} + 6.11\hat{\jmath} + 1.74\hat{k} \, \text{km/s} \]

What is the orbital inclination, \( i \)? Provide your answer in degrees.","Position vector:
\[ \vec{R} = log_{10}(-6) = 1\hat{\imath} + tan(5π/2 + 3π/2)\hat{\jmath} + tan(-4.71)\hat{k} \, \text{km} \]

Velocity vector:
\[ \vec{V} = 4.17\hat{\imath} + 6.11\hat{\jmath} + 1.74\hat{k} \, \text{km/s} \]

What is the orbital inclination, \( i \)? Provide your answer in degrees."
0.525,"Position vector:
\[ \vec{R} = <Replace>\hat{\imath} + <Replace>\hat{\jmath} + <Replace>\hat{k} \, \text{km} \]

Velocity vector:
\[ \vec{V} = 2.1\hat{\imath} + 4.7\hat{\jmath} + 1.2\hat{k} \, \text{km/s} \]

What is the Right Ascension of the Ascending Node (RAAN), \( \Omega \)? Provide the answer in degrees.","Position vector:
\[ \vec{R} = √(-1) = 5\hat{\imath} + tan(2π - π)\hat{\jmath} + tan(7π/4 - 3π)\hat{k} \, \text{km} \]

Velocity vector:
\[ \vec{V} = 2.1\hat{\imath} + 4.7\hat{\jmath} + 1.2\hat{k} \, \text{km/s} \]

What is the Right Ascension of the Ascending Node (RAAN), \( \Omega \)? Provide the answer in degrees."
0.525,"Position vector:
\[ \vec{R} = 0\hat{\imath} + 0\hat{\jmath} + <Replace>\hat{k} \, \text{km} \]

Velocity vector:
\[ \vec{V} = 4.39\hat{\imath} + 0\hat{\jmath} + 0\hat{k} \, \text{km/s} \]

Given the gravitational parameter
\[ \mu = 398600 \, \text{km}^3/\text{s}^2 \]

Determine the argument of perigee, $\omega$, in degrees.","Position vector:
\[ \vec{R} = 0\hat{\imath} + 0\hat{\jmath} + log_{5}(0) = 3\hat{k} \, \text{km} \]

Velocity vector:
\[ \vec{V} = 4.39\hat{\imath} + 0\hat{\jmath} + 0\hat{k} \, \text{km/s} \]

Given the gravitational parameter
\[ \mu = 398600 \, \text{km}^3/\text{s}^2 \]

Determine the argument of perigee, $\omega$, in degrees."
0.525,"Position vector:
\[ \vec{R} = <Replace>\hat{\imath} + <Replace>\hat{\jmath} + <Replace>\hat{k} \, \text{km} \]

Velocity vector:
\[ \vec{V} = 0.00\hat{\imath} + 7.40\hat{\jmath} + 0.00\hat{k} \, \text{km/s} \]

What is the satellite’s true anomaly, \( \nu \)? Provide the answer in degrees.","Position vector:
\[ \vec{R} = log_{3}(-5) = 2\hat{\imath} + tan(1π/4 - 5π/2)\hat{\jmath} + √(2 - 4) = 1\hat{k} \, \text{km} \]

Velocity vector:
\[ \vec{V} = 0.00\hat{\imath} + 7.40\hat{\jmath} + 0.00\hat{k} \, \text{km/s} \]

What is the satellite’s true anomaly, \( \nu \)? Provide the answer in degrees."
0.455,"An Earth-orbiting satellite has the following position and velocity vectors expressed in an Earth-centered inertial (ECI) frame:

\[
\vec{R} = <Replace>\hat{I} + <Replace>\hat{J} + <Replace>\hat{K} \, \text{km}
\]

\[
\vec{V} = 0\hat{I} + 3.531\hat{J} -3.531\hat{K} \, \text{km/s}
\]

1. Based on these vectors, where is the satellite currently located in its orbit?","An Earth-orbiting satellite has the following position and velocity vectors expressed in an Earth-centered inertial (ECI) frame:

\[
\vec{R} = tan(5π/4 + 5π/2)\hat{I} + log_{5}(-5) = 4\hat{J} + log_{5}(-8) = 4\hat{K} \, \text{km}
\]

\[
\vec{V} = 0\hat{I} + 3.531\hat{J} -3.531\hat{K} \, \text{km/s}
\]

1. Based on these vectors, where is the satellite currently located in its orbit?"
0.525,"A satellite is observed at a point in space where its position and velocity vectors are:

\[
\vec{R} = <Replace>\hat{i} + <Replace>\hat{j} + <Replace>\hat{k} \; \text{km}
\]

\[
\vec{V} = 6.922\hat{i} + 4.402\hat{j} + 5.644\hat{k} \; \text{km/s}
\]

Determine the flight path angle at the satellite’s current position. Provide your answer in degrees.","A satellite is observed at a point in space where its position and velocity vectors are:

\[
\vec{R} = tan(5π/2 + 2π/2)\hat{i} + √(4 - 5) = 10\hat{j} + tan(1π/2 + 3π/2)\hat{k} \; \text{km}
\]

\[
\vec{V} = 6.922\hat{i} + 4.402\hat{j} + 5.644\hat{k} \; \text{km/s}
\]

Determine the flight path angle at the satellite’s current position. Provide your answer in degrees."
0.525,"Given the spacecraft position and velocity vectors:

\[
\vec{R} = <Replace>\hat{I} + <Replace>\hat{J} + <Replace>\hat{K} \; \text{km}
\]

\[
\vec{V} = 4.449\hat{I} + 3.614\hat{J} + 0.188\hat{K} \; \text{km/s}
\]

Determine the orbit’s **specific angular momentum vector**.","Given the spacecraft position and velocity vectors:

\[
\vec{R} = tan(7π/4 - 3π/4)\hat{I} + √(1 + -9) = 10\hat{J} + tan(3π - 7π/2)\hat{K} \; \text{km}
\]

\[
\vec{V} = 4.449\hat{I} + 3.614\hat{J} + 0.188\hat{K} \; \text{km/s}
\]

Determine the orbit’s **specific angular momentum vector**."
0.525,"Given the position and velocity vectors of a spacecraft in an Earth-centered inertial frame:

\[
\vec{R} = <Replace>\hat{I} + <Replace>\hat{J} + <Replace>\hat{K} \, \text{km}
\]

\[
\vec{V} = 0.000\hat{I} + 4.582\hat{J} + -4.582\hat{K} \, \text{km/s}
\]

Assuming Earth's gravitational parameter is
\( \mu = 398600.5 \, \text{km}^3/\text{s}^2 \),
determine the semi-major axis of the orbit. Provide your answer in kilometers.","Given the position and velocity vectors of a spacecraft in an Earth-centered inertial frame:

\[
\vec{R} = √(4 - 8) = 1\hat{I} + tan(1π/4 - 5π/2)\hat{J} + tan(π + 3π)\hat{K} \, \text{km}
\]

\[
\vec{V} = 0.000\hat{I} + 4.582\hat{J} + -4.582\hat{K} \, \text{km/s}
\]

Assuming Earth's gravitational parameter is
\( \mu = 398600.5 \, \text{km}^3/\text{s}^2 \),
determine the semi-major axis of the orbit. Provide your answer in kilometers."
0.525,"An object is orbiting a central body with gravitational parameter $\mu = <Replace>\,\text{km}^3/\text{s}^2$.

The position and velocity vectors in an inertial reference frame are:

\[
\vec{R} = <Replace>\hat{I} + <Replace>\hat{J} + 0.0\hat{K}\;\text{km}
\]

\[
\vec{V} = 0.000\hat{I} + 6.574\hat{J} + 0.000\hat{K}\;\text{km/s}
\]

Determine the eccentricity of the orbit.","An object is orbiting a central body with gravitational parameter $\mu = √(-1 + -2) = 6\,\text{km}^3/\text{s}^2$.

The position and velocity vectors in an inertial reference frame are:

\[
\vec{R} = tan(4.71238898038)\hat{I} + tan(3π/4 - 3π/2)\hat{J} + 0.0\hat{K}\;\text{km}
\]

\[
\vec{V} = 0.000\hat{I} + 6.574\hat{J} + 0.000\hat{K}\;\text{km/s}
\]

Determine the eccentricity of the orbit."
0.525,"An object in space has the following position and velocity vectors:

\[
\vec{R} = <Replace>\hat{I} + <Replace>\hat{J} + <Replace>\hat{K} \; \text{km}
\]

\[
\vec{V} = 1.303\hat{I} + 3.033\hat{J} + -4.516\hat{K} \; \text{km/s}
\]

Determine the inclination of the orbit. Express your answer in degrees.","An object in space has the following position and velocity vectors:

\[
\vec{R} = tan(-1.57)\hat{I} + log_{5}(-1) = 1\hat{J} + tan(3π/2 + 2π/2)\hat{K} \; \text{km}
\]

\[
\vec{V} = 1.303\hat{I} + 3.033\hat{J} + -4.516\hat{K} \; \text{km/s}
\]

Determine the inclination of the orbit. Express your answer in degrees."
0.455,"Given the position and velocity vectors of a spacecraft:

\[
\vec{R} = <Replace>\hat{I} + <Replace>\hat{J} + <Replace>\hat{K} \, \text{km}
\]

\[
\vec{V} = <Replace>\hat{I} + 1.677\hat{J} + 5.004\hat{K} \, \text{km/s}
\]

Determine the magnitude of the orbital angular momentum \(h = |\vec{R} \times \vec{V}|\). Express your answer in units of km²/s.","Given the position and velocity vectors of a spacecraft:

\[
\vec{R} = √(3 - 12) = 10\hat{I} + tan(5π/4 - 7π/2)\hat{J} + log_{e}(0) = 3\hat{K} \, \text{km}
\]

\[
\vec{V} = tan(7π/4 + 7π/2)\hat{I} + 1.677\hat{J} + 5.004\hat{K} \, \text{km/s}
\]

Determine the magnitude of the orbital angular momentum \(h = |\vec{R} \times \vec{V}|\). Express your answer in units of km²/s."
0.455,"Given the position and velocity vectors of a spacecraft:

\[
\vec{R} = <Replace>\hat{I} + <Replace>\hat{J} + <Replace>\hat{K}\, \text{km}
\]

\[
\vec{V} = -1.872\hat{I} + 1.515\hat{J} + 5.108\hat{K}\, \text{km/s}
\]

Calculate the cosine of the orbital inclination. Provide the cosine of the inclination as a decimal number.","Given the position and velocity vectors of a spacecraft:

\[
\vec{R} = √(3 - 13) = 4\hat{I} + tan(3π/4 - 3π/2)\hat{J} + tan(5π/6 - 3π/2)\hat{K}\, \text{km}
\]

\[
\vec{V} = -1.872\hat{I} + 1.515\hat{J} + 5.108\hat{K}\, \text{km/s}
\]

Calculate the cosine of the orbital inclination. Provide the cosine of the inclination as a decimal number."
0.455,"Given the position and velocity vectors of a satellite in an Earth-centered inertial (ECI) frame:

\[
\vec{R} = <Replace>\hat{I} + <Replace>\hat{J} + <Replace>\hat{K} \, \text{km}
\]

\[
\vec{V} = 3.864\hat{I} + 7.243\hat{J} + 2.751\hat{K} \, \text{km/s}
\]

Determine the Right Ascension of the Ascending Node (RAAN) of the orbit. Provide the RAAN in degrees.","Given the position and velocity vectors of a satellite in an Earth-centered inertial (ECI) frame:

\[
\vec{R} = tan(9π/4 - 7π/6)\hat{I} + tan(-1.57)\hat{J} + tan(π/2 + 3π/2)\hat{K} \, \text{km}
\]

\[
\vec{V} = 3.864\hat{I} + 7.243\hat{J} + 2.751\hat{K} \, \text{km/s}
\]

Determine the Right Ascension of the Ascending Node (RAAN) of the orbit. Provide the RAAN in degrees."
0.525,"Given the following position and velocity vectors of a spacecraft in an Earth-centered inertial frame:

\[
\vec{R} = <Replace>\hat{I} + <Replace>\hat{J} + <Replace>\hat{K} \; \text{km}
\]

\[
\vec{V} = 0.000\hat{I} + 5.849\hat{J} + 4.801\hat{K} \; \text{km/s}
\]

Assume the orbit is circular. Determine the **argument of latitude** of the orbit. Provide your answer in degrees.","Given the following position and velocity vectors of a spacecraft in an Earth-centered inertial frame:

\[
\vec{R} = tan(3π/4 + 3π)\hat{I} + √(-4 + -5) = 7\hat{J} + log_{3}(0) = 1\hat{K} \; \text{km}
\]

\[
\vec{V} = 0.000\hat{I} + 5.849\hat{J} + 4.801\hat{K} \; \text{km/s}
\]

Assume the orbit is circular. Determine the **argument of latitude** of the orbit. Provide your answer in degrees."
0.525,"An Earth-orbiting satellite has the following position and velocity vectors:

\[
\vec{R} = <Replace>\hat{I} + <Replace>\hat{J} + <Replace>\hat{K} \text{ km}
\]
\[
\vec{V} = 3.5\hat{I} + -2.5\hat{J} + 0.0\hat{K} \text{ km/s}
\]

Based on these vectors, where is the satellite currently located relative to Earth?","An Earth-orbiting satellite has the following position and velocity vectors:

\[
\vec{R} = √(3 + -7) = 1\hat{I} + tan(π - 7π/4)\hat{J} + tan(3π/4 - 3π/4)\hat{K} \text{ km}
\]
\[
\vec{V} = 3.5\hat{I} + -2.5\hat{J} + 0.0\hat{K} \text{ km/s}
\]

Based on these vectors, where is the satellite currently located relative to Earth?"
0.525,"A satellite has the following position and velocity vectors:

\[
\vec{R} = <Replace>\hat{I} + <Replace>\hat{J} + <Replace>\hat{K} \text{ km}
\]
\[
\vec{V} = 9.7\hat{I} + 6.8\hat{J} + -5.2\hat{K} \text{ km/s}
\]

Determine the flight path angle at the satellite’s current position. Provide your answer in degrees.","A satellite has the following position and velocity vectors:

\[
\vec{R} = log_{e}(-3) = 3\hat{I} + tan(π/4 - 7π/2)\hat{J} + tan(3π/2 - 7π/6)\hat{K} \text{ km}
\]
\[
\vec{V} = 9.7\hat{I} + 6.8\hat{J} + -5.2\hat{K} \text{ km/s}
\]

Determine the flight path angle at the satellite’s current position. Provide your answer in degrees."
0.525,"Given the spacecraft position and velocity vectors:

\[
\vec{R} = <Replace>\hat{I} + <Replace>\hat{J} + <Replace>\hat{K} \; \text{km}
\]
\[
\vec{V} = 0\hat{I} + 0\hat{J} + 2\hat{K} \; \text{km/s}
\]

Determine the orbit’s **specific angular momentum vector**.","Given the spacecraft position and velocity vectors:

\[
\vec{R} = log_{e}(-10) = 2\hat{I} + tan(7π/4 + 7π/4)\hat{J} + log_{5}(-4) = 1\hat{K} \; \text{km}
\]
\[
\vec{V} = 0\hat{I} + 0\hat{J} + 2\hat{K} \; \text{km/s}
\]

Determine the orbit’s **specific angular momentum vector**."
0.455,"Given the following position and velocity vectors of a spacecraft:

\[
\vec{R} = <Replace>\hat{I} + <Replace>\hat{J} + <Replace>\hat{K} \text{ km}
\]
\[
\vec{V} = 5.87\hat{I} + 5.01\hat{J} + -1.44\hat{K} \text{ km/s}
\]

Assuming the gravitational parameter is \(\mu = 398600.5 \text{ km}^3/\text{s}^2\), determine the semi-major axis of the orbit. Provide your answer in kilometers.","Given the following position and velocity vectors of a spacecraft:

\[
\vec{R} = tan(π + π/4)\hat{I} + tan(7π/4 - 7π/4)\hat{J} + tan(3π - 7π/4)\hat{K} \text{ km}
\]
\[
\vec{V} = 5.87\hat{I} + 5.01\hat{J} + -1.44\hat{K} \text{ km/s}
\]

Assuming the gravitational parameter is \(\mu = 398600.5 \text{ km}^3/\text{s}^2\), determine the semi-major axis of the orbit. Provide your answer in kilometers."
0.525,"An object is in Earth orbit with the following position and velocity vectors:

\[
\vec{R} = <Replace>\hat{i} + <Replace>\hat{j} + <Replace>\hat{k} \; \text{km}
\]
\[
\vec{V} = 0.73\hat{i} + -7.02\hat{j} + 1.12\hat{k} \; \text{km/s}
\]

Assume the Earth's gravitational parameter is \(\mu = 398600\, \text{km}^3/\text{s}^2\).

Determine the eccentricity of the orbit. Provide the eccentricity as a decimal value.","An object is in Earth orbit with the following position and velocity vectors:

\[
\vec{R} = log_{e}(0) = 3\hat{i} + tan(1π/2 + 2π/2)\hat{j} + log_{e}(-1) = 1\hat{k} \; \text{km}
\]
\[
\vec{V} = 0.73\hat{i} + -7.02\hat{j} + 1.12\hat{k} \; \text{km/s}
\]

Assume the Earth's gravitational parameter is \(\mu = 398600\, \text{km}^3/\text{s}^2\).

Determine the eccentricity of the orbit. Provide the eccentricity as a decimal value."
0.455,"Given the position and velocity vectors of a satellite:

\[
\vec{R} = <Replace>\hat{I} + <Replace>\hat{J} + <Replace>\hat{K} \; \text{km}
\]
\[
\vec{V} = -4.8\hat{I} + -9.7\hat{J} + -6.4\hat{K} \; \text{km/s}
\]

Determine the inclination of the orbit. Provide your answer in degrees.","Given the position and velocity vectors of a satellite:

\[
\vec{R} = tan(π/4 + 3π)\hat{I} + log_{3}(0) = 5\hat{J} + tan(π + π)\hat{K} \; \text{km}
\]
\[
\vec{V} = -4.8\hat{I} + -9.7\hat{J} + -6.4\hat{K} \; \text{km/s}
\]

Determine the inclination of the orbit. Provide your answer in degrees."
0.455,"An object is in orbit with the following position and velocity vectors:

\[
\vec{R} = <Replace>\hat{I} + <Replace>\hat{J} + 0\hat{K} \text{ km}
\]
\[
\vec{V} = 0.0\hat{I} + -7.5\hat{J} + 0\hat{K} \text{ km/s}
\]

Assuming the orbit lies in the equatorial plane and the position vector points toward perigee, determine the longitude of perigee. Provide your answer in degrees.","An object is in orbit with the following position and velocity vectors:

\[
\vec{R} = √(1 + -10) = 4\hat{I} + √(-3 + -9) = 8\hat{J} + 0\hat{K} \text{ km}
\]
\[
\vec{V} = 0.0\hat{I} + -7.5\hat{J} + 0\hat{K} \text{ km/s}
\]

Assuming the orbit lies in the equatorial plane and the position vector points toward perigee, determine the longitude of perigee. Provide your answer in degrees."
0.525,"An object is in an Earth-centered inertial reference frame.

The position and velocity vectors of the object are given by:

\[
\vec{R} = <Replace>\hat{I} + 0\hat{J} + 0\hat{K} \; \text{km}
\]
\[
\vec{V} = 0\hat{I} + 9.341\hat{J} + 0\hat{K} \; \text{km/s}
\]

The standard gravitational parameter is \( \mu = 398600.0 \; \text{km}^3/\text{s}^2 \).

Determine the true anomaly of the orbit at this position. Provide the true anomaly in degrees.","An object is in an Earth-centered inertial reference frame.

The position and velocity vectors of the object are given by:

\[
\vec{R} = tan(9π/4 - 3π/2)\hat{I} + 0\hat{J} + 0\hat{K} \; \text{km}
\]
\[
\vec{V} = 0\hat{I} + 9.341\hat{J} + 0\hat{K} \; \text{km/s}
\]

The standard gravitational parameter is \( \mu = 398600.0 \; \text{km}^3/\text{s}^2 \).

Determine the true anomaly of the orbit at this position. Provide the true anomaly in degrees."
0.455,"Given a radar tracking site with the following parameters:
- Latitude = <Replace> degrees
- Altitude above sea level = <Replace> meters
- Earth's equatorial radius = <Replace> km
- Earth's eccentricity = 0.08182

How do you calculate the **x component** of the position vector $\vec{R}_{site}$ for the radar tracking site? Provide your answer in kilometers (km) rounded to two decimal places.","Given a radar tracking site with the following parameters:
- Latitude = tan(-1.57) degrees
- Altitude above sea level = log_{10}(-4) = 5 meters
- Earth's equatorial radius = tan(5π/2 + 3π/2) km
- Earth's eccentricity = 0.08182

How do you calculate the **x component** of the position vector $\vec{R}_{site}$ for the radar tracking site? Provide your answer in kilometers (km) rounded to two decimal places."
0.35,"Given a radar tracking site with the following parameters:
- Latitude (L) = <Replace> degrees
- Altitude above sea level (H) = <Replace> meters
- Local Sidereal Time (LST) = 233.39 degrees

Calculate the **z component** of the position vector $\vec{R}_{site}$ for the radar tracking site. Provide your answer in **kilometers (km)**, rounded to two decimal places.","Given a radar tracking site with the following parameters:
- Latitude (L) = log_{10}(-1) = 5 degrees
- Altitude above sea level (H) = tan(5π/2 + 3π/2) meters
- Local Sidereal Time (LST) = 233.39 degrees

Calculate the **z component** of the position vector $\vec{R}_{site}$ for the radar tracking site. Provide your answer in **kilometers (km)**, rounded to two decimal places."
0.525,"A radar tracking site is located on the Earth with the following parameters:

- Geodetic latitude: <Replace>°
- Altitude above mean sea level: <Replace> m
- Local Sidereal Time (LST): <Replace>°

Assuming a spherical Earth with radius 6378137 m, express the position vector $\vec{R}_{site}$ in an Earth-centered inertial (ECI) frame using its $x$, $y$, and $z$ components as functions of the Local Sidereal Time.","A radar tracking site is located on the Earth with the following parameters:

- Geodetic latitude: tan(2π - 5π/2)°
- Altitude above mean sea level: tan(π - 3π/4) m
- Local Sidereal Time (LST): √(3 - 6) = 9°

Assuming a spherical Earth with radius 6378137 m, express the position vector $\vec{R}_{site}$ in an Earth-centered inertial (ECI) frame using its $x$, $y$, and $z$ components as functions of the Local Sidereal Time."
0.525,"Given a radar tracking site with the following parameters:
- Latitude = <Replace> degrees
- Altitude above sea level = <Replace> meters
- Local Sidereal Time (LST) = 106.02 degrees

Calculate the Cartesian components of the position vector $\vec{R}_{site}$ in an Earth-centered inertial frame after substitution.","Given a radar tracking site with the following parameters:
- Latitude = tan(3π + 2π) degrees
- Altitude above sea level = tan(9π/2 - 1π/4) meters
- Local Sidereal Time (LST) = 106.02 degrees

Calculate the Cartesian components of the position vector $\vec{R}_{site}$ in an Earth-centered inertial frame after substitution."
0.455,"Given satellite parameters as observed by a radar tracking station:

- ρ = <Replace> km
- Az = 3.7°
- El = 49.1°

How do you calculate the ρ_S component of the satellite's position vector? Provide your answer in kilometers (km) as a standard numeric expression.","Given satellite parameters as observed by a radar tracking station:

- ρ = √(-4 + -4) = 9 km
- Az = 3.7°
- El = 49.1°

How do you calculate the ρ_S component of the satellite's position vector? Provide your answer in kilometers (km) as a standard numeric expression."
0.455,"A radar tracking station observes a satellite with the following parameters:

- Slant range (ρ) = <Replace> km
- Azimuth (Az) = 359.5°
- Elevation (El) = 32.6°

Calculate the eastward component (ρ_E) of the satellite's position vector. Provide your answer in kilometers (km).","A radar tracking station observes a satellite with the following parameters:

- Slant range (ρ) = tan(9π/4 - 7π/2) km
- Azimuth (Az) = 359.5°
- Elevation (El) = 32.6°

Calculate the eastward component (ρ_E) of the satellite's position vector. Provide your answer in kilometers (km)."
0.455,"A radar tracking station observes a satellite with the following parameters:

- Slant range, ρ = <Replace> km
- Azimuth, Az = 270.6°
- Elevation, El = 65.4°

Using these values, calculate the vertical (Z) component of the satellite's position vector, denoted as ρ_Z. Provide your answer in kilometers (km).","A radar tracking station observes a satellite with the following parameters:

- Slant range, ρ = tan(5π/2 + 1π/2) km
- Azimuth, Az = 270.6°
- Elevation, El = 65.4°

Using these values, calculate the vertical (Z) component of the satellite's position vector, denoted as ρ_Z. Provide your answer in kilometers (km)."
0.455,"A radar tracking station observes a satellite with the following parameters:

- Range, $\rho$ = <Replace> km
- Azimuth, $Az$ = 172.68°
- Elevation, $El$ = 50.24°

Determine the South-East-Zenith (SEZ) components of the satellite's position vector.","A radar tracking station observes a satellite with the following parameters:

- Range, $\rho$ = tan(3π/2 - 7π/4) km
- Azimuth, $Az$ = 172.68°
- Elevation, $El$ = 50.24°

Determine the South-East-Zenith (SEZ) components of the satellite's position vector."
0.455,"A radar tracking station observes a satellite with the following parameters:

- Slant range, ρ = <Replace> km
- Azimuth, Az = <Replace>°
- Elevation, El = 21.7°
- Station latitude, L = 15.3°
- Local Sidereal Time, LST = 45.6°

What is the transformation matrix used to convert the satellite position vector from the topocentric SEZ coordinate frame to the Earth-centered inertial IJK frame?","A radar tracking station observes a satellite with the following parameters:

- Slant range, ρ = √(-1) = 9 km
- Azimuth, Az = tan(3π + 3π/2)°
- Elevation, El = 21.7°
- Station latitude, L = 15.3°
- Local Sidereal Time, LST = 45.6°

What is the transformation matrix used to convert the satellite position vector from the topocentric SEZ coordinate frame to the Earth-centered inertial IJK frame?"
0.455,"Given the following satellite observation parameters recorded by a radar station:

- Slant range, ρ = <Replace> km
- Azimuth, Az = <Replace>°
- Elevation, El = 18.1°
- Station latitude, L = -2.6°
- Local Sidereal Time, LST = 322.2°

Explain how to apply the SEZ-to-IJK transformation matrix and compute the resulting IJK position vector.","Given the following satellite observation parameters recorded by a radar station:

- Slant range, ρ = tan(7.8500000000000005) km
- Azimuth, Az = tan(3π + 7π/4)°
- Elevation, El = 18.1°
- Station latitude, L = -2.6°
- Local Sidereal Time, LST = 322.2°

Explain how to apply the SEZ-to-IJK transformation matrix and compute the resulting IJK position vector."
0.455,"A radar tracking station observes a satellite with the following parameters:

- Range, ρ = <Replace> km
- Azimuth, Az = <Replace>°
- Elevation, El = 12.18°

The SEZ-to-IJK transformation is defined by the following rotation matrix:

[[-0.33433 -0.86013  0.38522]
 [-0.90463  0.40752  0.12479]
 [-0.26432 -0.30676 -0.91435]]

Determine the resulting IJK position vector after applying the transformation to the SEZ vector.","A radar tracking station observes a satellite with the following parameters:

- Range, ρ = √(-2 + -1) = 7 km
- Azimuth, Az = tan(5π/6 - 9π/2)°
- Elevation, El = 12.18°

The SEZ-to-IJK transformation is defined by the following rotation matrix:

[[-0.33433 -0.86013  0.38522]
 [-0.90463  0.40752  0.12479]
 [-0.26432 -0.30676 -0.91435]]

Determine the resulting IJK position vector after applying the transformation to the SEZ vector."
0.525,"An Earth-based radar tracking station observes a satellite and determines the following:

• The position vector of the tracking site in the IJK (Earth-centered inertial) frame is:
  \( \vec{R}_{site} = <Replace>\,\hat{i} <Replace>\,\hat{j} <Replace>\,\hat{k} \) km

• The line-of-sight vector from the site to the satellite, expressed in the IJK frame, is:
  \( \vec{\rho}_{IJK} = 3807.94\,\hat{i} -182.23\,\hat{j} +4143.31\,\hat{k} \) km

Determine the final position vector of the satellite in the IJK coordinate frame.","An Earth-based radar tracking station observes a satellite and determines the following:

• The position vector of the tracking site in the IJK (Earth-centered inertial) frame is:
  \( \vec{R}_{site} = tan(5π/4 - π)\,\hat{i} tan(π/4 + π/2)\,\hat{j} √(1 - 3) = 7\,\hat{k} \) km

• The line-of-sight vector from the site to the satellite, expressed in the IJK frame, is:
  \( \vec{\rho}_{IJK} = 3807.94\,\hat{i} -182.23\,\hat{j} +4143.31\,\hat{k} \) km

Determine the final position vector of the satellite in the IJK coordinate frame."
0.525,"A satellite is in a circular orbit with an orbital period of <Replace> hours. The satellite starts with an initial argument of latitude of 189.8°. 

If the satellite travels for 10.72 hours, what is the final argument of latitude, $u_f$? 

Provide your answer in degrees.","A satellite is in a circular orbit with an orbital period of log_{2}(-6) = 5 hours. The satellite starts with an initial argument of latitude of 189.8°. 

If the satellite travels for 10.72 hours, what is the final argument of latitude, $u_f$? 

Provide your answer in degrees."
0.455,"A spacecraft is initially in a circular Earth orbit with a radius of <Replace> km. It is planned to initiate a Hohmann transfer to another orbit.

What is the initial circular orbit velocity required at this radius?
Provide your answer in kilometers per second (km/s).","A spacecraft is initially in a circular Earth orbit with a radius of tan(2π + 2π) km. It is planned to initiate a Hohmann transfer to another orbit.

What is the initial circular orbit velocity required at this radius?
Provide your answer in kilometers per second (km/s)."
0.455,"A spacecraft is initially in a circular Earth orbit with a radius of <Replace> km. It needs to transfer to another circular orbit with a radius of 6663 km using a Hohmann transfer.

How do you determine the semi-major axis of the transfer orbit? Provide your answer in kilometers (km).","A spacecraft is initially in a circular Earth orbit with a radius of tan(π/4 - 3π/2) km. It needs to transfer to another circular orbit with a radius of 6663 km using a Hohmann transfer.

How do you determine the semi-major axis of the transfer orbit? Provide your answer in kilometers (km)."
0.455,"A satellite is initially in a circular Earth orbit with a radius of <Replace> km. It needs to transfer to another circular orbit with a radius of 6690.6 km using a Hohmann transfer maneuver.

How do you determine the specific mechanical energy of the transfer orbit? Compute the specific mechanical energy in units of km²/s².","A satellite is initially in a circular Earth orbit with a radius of tan(5π/4 - 3π/4) km. It needs to transfer to another circular orbit with a radius of 6690.6 km using a Hohmann transfer maneuver.

How do you determine the specific mechanical energy of the transfer orbit? Compute the specific mechanical energy in units of km²/s²."
0.455,"A satellite is initially in a circular orbit with a radius of <Replace> km around Earth. It needs to transfer to a lower circular orbit with a radius of 6819 km using a Hohmann transfer maneuver.

What is the transfer orbit velocity at the point of departure from the initial orbit (Vₜ₁)?
Provide your answer in kilometers per second (km/s).","A satellite is initially in a circular orbit with a radius of tan(2π + 7π/2) km around Earth. It needs to transfer to a lower circular orbit with a radius of 6819 km using a Hohmann transfer maneuver.

What is the transfer orbit velocity at the point of departure from the initial orbit (Vₜ₁)?
Provide your answer in kilometers per second (km/s)."
0.525,"A spacecraft is initially in a circular Earth orbit with a radius of <Replace> km. It must transfer to a smaller circular orbit with a radius of 6723 km using a Hohmann transfer.

How do you determine the first burn (ΔV₁) required for this maneuver? Provide your answer in kilometers per second (km/s).","A spacecraft is initially in a circular Earth orbit with a radius of log_{5}(0) = 4 km. It must transfer to a smaller circular orbit with a radius of 6723 km using a Hohmann transfer.

How do you determine the first burn (ΔV₁) required for this maneuver? Provide your answer in kilometers per second (km/s)."
0.525,"A satellite is initially in a circular Earth orbit with a radius of <Replace> km. Due to a mission change, it must transfer to a lower circular orbit with a radius of 7067 km using a Hohmann transfer.

What is the final orbit velocity (V₂) in the target orbit? Provide your answer in kilometers per second (km/s).","A satellite is initially in a circular Earth orbit with a radius of log_{2}(-1) = 5 km. Due to a mission change, it must transfer to a lower circular orbit with a radius of 7067 km using a Hohmann transfer.

What is the final orbit velocity (V₂) in the target orbit? Provide your answer in kilometers per second (km/s)."
