Difficulty,Test Ori Question,Test Ori Solution,Test Ori Final Answer
0.45,"Calculate the Pauli repulsive force with the following parameters:
Force constant $k=2.158e-08\,\mathrm{N}$
Decay coefficient $\alpha=8.031e+10\,\mathrm{m^{-1}}$
Distance $r=5.280e-11\,\mathrm{m}$","step1: Confirm the input parameters:
 $k=2.158e-08\,\mathrm{N}$
 $\alpha=8.031e+10\,\mathrm{m^{-1}}$
 $r=5.280e-11\,\mathrm{m}$;
step2: Use the formula for the Pauli repulsive force:
 $F_{\text{Pauli}} = -\nabla E_{\text{Pauli}} \approx -k \, e^{-\alpha r}$;
step3: Compute the exponential term:
 $e^{-8.031e+10 \times 5.280e-11} = 1.441e-02$;
step4: Compute the Pauli force:
 $-2.158e-08 \times 1.441e-02 = -3.109e-10\,\mathrm{N}$;
final_answer: The Pauli repulsive force is $F_{\text{Pauli}} = -3.109e-10\,\mathrm{N}$","The Pauli repulsive force is $F_{\text{Pauli}} = -3.109e-10\,\mathrm{N}$"
0.51,"Calculate the Einstein radius of a gravitational lens with the following parameters:
Lens mass $M=2.34e+11\,M_{\odot}$
Lens distance $D_L=1738.7\,\mathrm{Mpc}$
Source distance $D_S=2097.1\,\mathrm{Mpc}$","step1: Confirm the input parameters:
 $M=2.34e+11\,M_{\odot}$
 $D_L=1738.7\,\mathrm{Mpc}$
 $D_S=2097.1\,\mathrm{Mpc}$
 $D_{LS}=358.4\,\mathrm{Mpc}$;
step2: Use the Einstein radius formula:
 $\theta_E = \sqrt{\frac{4GM}{c^2} \frac{D_{LS}}{D_L D_S}}$;
step3: Compute the constant factor:
 $\frac{4G}{c^2} = 2.970e-27$;
step4: Compute the distance ratio:
 $\frac{D_{LS}}{D_L D_S} = 3.186e-27$;
step5: Combine to compute:
 $\theta_E = 2.097e-06\,\mathrm{rad}$;
step6: Unit conversion:
 $\theta_E = 0.43\,\mathrm{arcsec}$;
final_answer: The Einstein radius is $\theta_E = 0.43\,\mathrm{arcsec}$","The Einstein radius is $\theta_E = 0.43\,\mathrm{arcsec}$"
0.39,"Compute the particle flux with the following parameters:
Particle number density $n=9.481e+19\,\mathrm{m^{-3}}$
Particle velocity $v=2.884e+05\,\mathrm{m\,s^{-1}}$","step1: Confirm the input parameters:
 $n=9.481e+19\,\mathrm{m^{-3}}$
 $v=2.884e+05\,\mathrm{m\,s^{-1}}$;
step2: Use the flux formula:
 $F = n \times v$;
step3: Compute the flux:
 $9.481e+19 \times 2.884e+05 = 2.734e+25\,\mathrm{m^{-2}\,s^{-1}}$;
final_answer: The particle flux is $F = 2.734e+25\,\mathrm{m^{-2}\,s^{-1}}$","The particle flux is $F = 2.734e+25\,\mathrm{m^{-2}\,s^{-1}}$"
0.45,"Calculate the stellar oscillation frequency with the following parameters:
Large frequency separation $\Delta\nu=287.74\,\mu\mathrm{Hz}$
Phase offset $\epsilon=1.41$
Angular degree $l=2$
Radial order $n=24$
Offset term $d_{02}=4.41\,\mu\mathrm{Hz}$","step1: Confirm the input parameters:
 $\Delta\nu=287.74\,\mu\mathrm{Hz}$
 $\epsilon=1.41$
 $l=2$
 $n=24$
 $d_{02}=4.41\,\mu\mathrm{Hz}$;
step2: Use the oscillation frequency formula:
 $\nu_{n,l} \approx \Delta\nu \left(n + \frac{l}{2} + \epsilon\right) - d_{0l}$;
step3: Compute the term in parentheses:
 $24 + \frac{2}{2} + 1.41 = 26.41$;
step4: Compute the frequency:
 $287.74 \times 26.41 - 4.41 = 7595.07\,\mu\mathrm{Hz}$;
final_answer: The oscillation frequency is $\nu_{24,2} = 7595.07\,\mu\mathrm{Hz}$","The oscillation frequency is $\nu_{24,2} = 7595.07\,\mu\mathrm{Hz}$"
0.45,"Calculate the radiation intensity with the following parameters:
Source luminosity $L=6.975e+31\,\mathrm{W}$
Observation distance $r=2.667e+21\,\mathrm{m}$","step1: Confirm the input parameters:
 $L=6.975e+31\,\mathrm{W}$
 $r=2.667e+21\,\mathrm{m}$;
step2: Use the radiation intensity formula:
 $I = \dfrac{L}{4\pi r^2}$;
step3: Compute the denominator:
 $4\pi \times (2.667e+21)^2 = 8.941e+43\,\mathrm{m^2}$;
step4: Compute the intensity:
 $\dfrac{6.975e+31}{8.941e+43} = 7.802e-13\,\mathrm{W\,m^{-2}}$;
final_answer: The radiation intensity is $I = 7.802e-13\,\mathrm{W\,m^{-2}}$","The radiation intensity is $I = 7.802e-13\,\mathrm{W\,m^{-2}}$"
0.51,Please calculate the Julian Date (JD) for the date 2031-9-5 07:23:12,"step1: Confirm the input parameters Year(Y)=2031, Month(M)=9, Day(D)=5, Hour(h)=7, Minute(m)=23, Second(s)=12;
step2: Use the Julian Date formula $JD = 367 \times Y - \left\lfloor \frac{7}{4} \times (Y + \left\lfloor \frac{M+9}{12} \right\rfloor) \right\rfloor + \left\lfloor \frac{275 \times M}{9} \right\rfloor + D + 1721013.5 + \frac{h + \frac{m}{60} + \frac{s}{3600}}{24}$;
step3: Compute $367 \times 2031 = 745377$;
step4: Compute $\left\lfloor \frac{9+9}{12} \right\rfloor = 1$;
step5: Compute $\left\lfloor \frac{7}{4} \times (2031 + 1) \right\rfloor = 3556$;
step6: Compute $\left\lfloor \frac{275 \times 9}{9} \right\rfloor = 275$;
step7: Compute the fractional part of the day $\frac{7 + \frac{23}{60} + \frac{12}{3600}}{24} = 0.30777777777777776$;
step8: Combine all terms to get $JD = 745377 - 3556 + 275 + 5 + 1721013.5 + 0.30777777777777776 = 2463114.80778$;
final_answer: Julian Date $JD = 2463114.80778$",Julian Date $JD = 2463114.80778$
0.45,"Please calculate the Local Sidereal Time (LST), given Greenwich Sidereal Time (GST)=18.29 hours, longitude λ=61.38°, and time difference=-0.66 hours","step1: Confirm the input parameters GST=18.29 hours, λ=61.38°, time difference=-0.66 hours;
step2: Use the Local Sidereal Time formula $LST = GST + \frac{\lambda}{15} + \text{time difference}$ (15 degrees of longitude = 1 hour);
step3: Calculate the longitude contribution $\frac{61.38}{15} = 4.0920$ hours;
step4: Perform the combined calculation $LST = 18.29 + 4.0920 + -0.66 = 21.7218$ hours;
step5: Apply modulo 24 hours $LST = 21.7218 \mod 24 = 21.7218$ hours;
final_answer: The Local Sidereal Time is $LST = 21.7218$ hours",The Local Sidereal Time is $LST = 21.7218$ hours
0.39,"Given the angular perturbation system:
\begin{cases}
\Delta \psi = \sum_i (A_i \sin \alpha_i + B_i \cos \alpha_i) \\
\Delta \epsilon = \sum_i (C_i \cos \alpha_i + D_i \sin \alpha_i)
\end{cases}
where the specific parameters are:
[(-0.0022787478155803786, 0.043000668903179495, -0.03449537932501712, 0.09905712146854748)]
Now, provide an expansion system.","step1: Confirm the input parameters [(-0.0022787478155803786, 0.043000668903179495, -0.03449537932501712, 0.09905712146854748)];
step2: Expand the system:
\begin{cases}
\Delta \psi = -0.002\sin\alpha_1 + 0.043\cos\alpha_1 \\
\Delta \epsilon = -0.034\cos\alpha_1 + 0.099\sin\alpha_1
\end{cases}
final_answer: The expanded system is:\Delta \psi = -0.002\sin\alpha_1 + 0.043\cos\alpha_1 \\
\Delta \epsilon = -0.034\cos\alpha_1 + 0.099\sin\alpha_1","The expanded system is:\Delta \psi = -0.002\sin\alpha_1 + 0.043\cos\alpha_1 \\
\Delta \epsilon = -0.034\cos\alpha_1 + 0.099\sin\alpha_1"
0.45,"Given the equatorial coordinates of a celestial object $\alpha=12.84^\circ$, $\delta=13.26^\circ$, and the obliquity of the ecliptic $\varepsilon=24.24^\circ$, use the following system of equations to compute the ecliptic coordinates $(\beta,\lambda)$:
\begin{cases}
\sin\beta = \sin\delta \cos\varepsilon - \cos\delta \sin\varepsilon \sin\alpha \\
\cos\beta \cos\lambda = \cos\delta \cos\alpha \\
\cos\beta \sin\lambda = \sin\delta \sin\varepsilon + \cos\delta \cos\varepsilon \sin\alpha
\end{cases}","step1: Convert angles to radians:
$\delta = 13.26^\circ = 0.2314$ rad
$\alpha = 12.84^\circ = 0.2242$ rad
$\varepsilon = 24.24^\circ = 0.4231$ rad

step2: Compute $\sin\beta$:
$\sin\beta = \sin(0.2314)\cos(0.4231) - \cos(0.2314)\sin(0.4231)\sin(0.2242)$
$= 0.2293 \times 0.9118 - 0.9734 \times 0.4106 \times 0.2223$
$= 0.1202$
$\beta = \arcsin(0.1202) = 0.1205$ rad = 6.91$^\circ$

step3: Compute $\cos\beta = \cos(0.1205) = 0.9927$

step4: Compute $\cos\lambda$:
$\cos\lambda = \frac{\cos\delta \cos\alpha}{\cos\beta} = \frac{0.9734 \times 0.9750}{0.9927} = 0.9559$
Thus we obtain $\lambda = \arccos(0.9559) = 0.2980$ rad

step5: Verify the quadrant (using the third equation):
Test value = $\sin\delta \sin\varepsilon + \cos\delta \cos\varepsilon \sin\alpha = 0.2914$
Final result $\lambda = 0.2980$ rad = 17.07$^\circ$

final_answer: Ecliptic coordinates $\beta = 6.91^\circ$, $\lambda = 17.07^\circ$","Ecliptic coordinates $\beta = 6.91^\circ$, $\lambda = 17.07^\circ$"
0.45,"Given the reference angle $\theta_0=242.93^\circ$, observation distance $D=61.13$ meters, displacement vector $\mathbf{r}=(6.68, -9.27, -9.52)$ meters, and normal vector $\hat{n}=(-0.5720, -0.8200, -0.0194)$, please compute the total angle using the formula:
$\theta = \theta_0 + \frac{\mathbf{r} \cdot \hat{n}}{D}$","step1: Confirm the input parameters:
Reference angle $\theta_0 = 242.93^\circ$
Observation distance $D = 61.13$ m
Displacement vector $\mathbf{r} = [6.68, -9.27, -9.52]$ m
Normal vector $\hat{n} = [-0.5720, -0.8200, -0.0194]$

step2: Compute the dot product $\mathbf{r} \cdot \hat{n}$:
$= 6.68\times-0.5720 + -9.27\times-0.8200 + -9.52\times-0.0194$
$= 3.9696$ m

step3: Compute the angle offset:
$\Delta\theta = \frac{3.9696}{61.13} = 0.0649$ rad
$= 3.7209^\circ$

step4: Compute the total angle:
$\theta = 242.93 + 3.7209 = 246.6505^\circ$

final_answer: Total angle $\theta = 246.6505^\circ$",Total angle $\theta = 246.6505^\circ$
0.39,"Given the UTC time 2023-03-27 19:17:38 and the leap second correction ΔAT = 10 seconds, use the following time system conversion formulae to calculate TAI and TT:
\begin{cases}
TAI = UTC + \Delta AT \\
TT = TAI + 32.184\ \mathrm{seconds}
\end{cases}","step1: Confirm the input parameters:
UTC time = 2023-03-27 19:17:38
ΔAT = 10 seconds

step2: Calculate TAI time:
TAI = UTC + ΔAT = 19:17:38 + 10 seconds
= 19:17:48

step3: Calculate TT time:
TT = TAI + 32.184 seconds = 19:17:48 + 32.184 seconds
= 19:18:20

final_answer:
TAI time = 2023-03-27 19:17:48
TT time = 2023-03-27 19:18:20","TAI time = 2023-03-27 19:17:48
TT time = 2023-03-27 19:18:20"
