Difficulty,Test Ori Question,Test Ori Solution,Test Ori Final Answer,Image Lable,Image Name
0.63,"Given the declination of a star as δ = 27.0° and the hour angle t = 162.9°, calculate the altitude h and azimuth A of this star when observed at latitude φ = 38.6°.","Step 1: Using the spherical trigonometric formula:
sin h = sin φ sin δ + cos φ cos δ cos t

sin h = sin(38.6°)·sin(27.0°) + cos(38.6°)·cos(27.0°)·cos(162.9°)
       = -0.3832

Thus,
h = -22.5°

Step 2: Using the spherical trigonometric formula:
sin A = (cos δ sin t) / cos h

sin A = (cos(27.0°)·sin(162.9°)) / cos(-22.5°)
       = 0.2834

Step 3: Using the spherical trigonometric formula:
cos A = (sin φ sin h − sin δ) / (cos φ cos h)

cos A = (sin(38.6°)·sin(-22.5°) − sin(27.0°)) /
        (cos(38.6°)·cos(-22.5°))
       = -0.9590

Step 4: Combining sin A and cos A to determine the correct quadrant:
A = 163.5°","h = -22.5°, A = 163.5°",No,
0.63,"At latitude $\phi = 6.5^\circ$, the altitude of a star is $h = 44.3^\circ$ and its azimuth is $A = 19.5^\circ$. Compute the declination $\delta$ and the hour angle $t$.","Step 1: Declination

Using the spherical trigonometric relation:
\[
\sin \delta = \sin \phi \sin h - \cos \phi \cos h \cos A
\]

Substituting the values:
\[
\sin \delta = -0.5918
\]

Hence:
\[
\delta = -36.3^\circ
\]

Step 2: Hour angle from the sine formula

\[
\sin t = \frac{\sin A \cos h}{\cos \delta}
\]

Substituting the values:
\[
\sin t = 0.2963
\]

This gives two possible solutions:
\[
t = 17^\circ \quad \text{or} \quad 163^\circ
\]

Step 3: Hour angle from the cosine formula

\[
\cos t = \frac{\sin h - \sin \phi \sin \delta}{\cos \phi \cos \delta}
\]

Substituting the values:
\[
\cos t = 0.9551
\]

Thus:
\[
t = 17^\circ \quad \text{or} \quad 343^\circ
\]

Step 4: Unique solution

Comparing the results from Step 2 and Step 3, the consistent solution is:
\[
\boxed{t = 17^\circ}
\]",Final_answer: \[\boxed{t = 17^\circ}\],No,
0.546,"Hubble measured the distance to a nearby galaxy as 382.2 kpc, whereas the currently accepted value is 764.4 kpc. If this discrepancy is entirely due to an incorrect estimate of the interstellar extinction $A_\lambda$, by how much did Hubble misestimate $A_\lambda$?","Step 1: Recall the distance modulus including extinction:
\[
m_\lambda = M_\lambda + 5\log d - 5 + A_\lambda
\]

Assume the true distance is $d_1$ and the distance inferred using the incorrect extinction is $d_2$. The difference in extinction $\Delta A_\lambda$ affects the inferred distance as:
\[
\frac{d_1}{d_2} = 10^{\Delta A_\lambda / 5}
\]

Step 2: Substitute the given numerical values:
\[
\frac{764.4}{382.2} = 10^{\Delta A_\lambda / 5}
\]

Step 3: Solve for the extinction difference:
\[
\Delta A_\lambda = 5\log\left(\frac{764.4}{382.2}\right)
= 1.505\,\text{mag}
\]

Final Answer:
\[
\boxed{\Delta A_\lambda = 1.505\,\text{mag}}
\]
This means the extinction was overestimated by this amount.","$\Delta A_\lambda = 1.505\,\text{mag}$",No,
0.63,"Assuming the Earth is a perfect sphere with radius $R_\mathrm{E} = 6444.31\ \mathrm{km}$ and gravitational parameter $GM_\mathrm{E} = 3.9891e+14\ \mathrm{m^3/s^2}$, determine the orbital altitude and linear velocity of a 24-hour (geosynchronous) satellite.","Step 1: For a geosynchronous satellite, the satellite's angular velocity equals the Earth's rotational angular velocity.

$\omega = 7.292115e-05\ \mathrm{rad/s}$

Step 2: Compute the orbital period using the relation
$T = \frac{2\pi}{\omega}$.

$T = 86164.1\ \mathrm{s} = 23\ \mathrm{h}\ 56\  \mathrm{{m}}\ 4\ \mathrm{{s}}$

Step 3: Apply Kepler’s third law to compute the orbital radius:
$r = \left( \frac{GM T^2}{4\pi^2} \right)^{1/3}$.

$r = 42175\ \mathrm{km}$

The satellite altitude above Earth's surface is
$h = r - R_E$.

$h = 35731\ \mathrm{km}$

Step 4: Compute the linear orbital velocity using
$v = r\omega$.

$v = 3.075\ \mathrm{km/s}$

Final Answer:
$\boxed{\text{Satellite altitude: } 35731\ \mathrm{{km}},\ \text{{linear velocity: }} 3.075\ \mathrm{km/s}}$","$\boxed{\text{Satellite altitude: } 35731\mathrm{km},\ \text{linear velocity: }3.075\ \mathrm{km/s}}$",No,
0.546,"Given that the apsidal precession of Jupiter’s moon Amalthea is $\frac{\mathrm{d}\omega}{\mathrm{d}t}=4.40^\circ/\mathrm{day}$, the orbit is approximately circular with $a=165710\,\mathrm{km}$, and the inclination can be neglected. Find Jupiter’s oblateness parameter $J_{2}$.","
Step1: According to the problem

Get:

$i=0$, $e=0$.

Step2: Use the standard J2-driven apsidal precession (near-circular) relation

$$
\frac{\mathrm{d}\omega}{\mathrm{d}t}
= \frac{3nJ_2}{4}\left(\frac{R_J}{p}\right)^2\left(4-5\sin^2 i\right).
$$

Rearrange for $J_2$:

$$
J_2
=\frac{4}{3n}\frac{\mathrm{d}\omega}{\mathrm{d}t}
\left(\frac{p}{R_J}\right)^2\frac{1}{4-5\sin^2 i}.
$$

Since $e=0\Rightarrow p=a$ and $i=0\Rightarrow 4-5\sin^2 i=4$, this becomes

$$
J_2=\frac{1}{3n}\frac{\mathrm{d}\omega}{\mathrm{d}t}
\left(\frac{a}{R_J}\right)^2,
\qquad
n=\sqrt{\frac{\mu}{a^3}}.
$$

Also convert the given precession rate to radians per day:

$$
\left(\frac{\mathrm{d}\omega}{\mathrm{d}t}\right)_{\mathrm{rad/day}}
=
\left(\frac{\mathrm{d}\omega}{\mathrm{d}t}\right)_{\mathrm{deg/day}}
\cdot\frac{\pi}{180}.
$$

Step3: Substitute numerical values.

Compute $\mu=GM_J$ from Earth’s value:

$$
GM_E=3.986\times 10^{14}\,\mathrm{m^3/s^2}
=3.986\times 10^5\,\mathrm{km^3/s^2}
=3.986\times 10^5\cdot 86400^2\,\mathrm{km^3/day^2},
$$

$$
\mu=GM_J=(317.82)\,GM_E.
$$

Use $R_J=71492\,\mathrm{km}$, $a=165710\,\mathrm{km}$, and
$\frac{\mathrm{d}\omega}{\mathrm{d}t}=4.40^\circ/\mathrm{day}$.

This gives (numerically):

$$
J_2 \approx 0.0095.
$$

Final_answer:  $\boxed{J_2=0.0095}$
",$\boxed{J_2=0.0095}$,No,
0.546,"A certain planet has the same mass and radius as Earth. Its satellite has a perigee altitude of $h_p=200\,\text{km}$, an apogee altitude of $h_a=400\,\text{km}$, an inclination of $i=80^\circ$, and a perigee precession of $\Delta\omega=12^\circ/\text{day}$. Determine the planet’s zonal harmonic coefficient $J_2$.","
Step1: Compute the orbit geometry from the given perigee/apogee altitudes.

$$
a = R_E + \frac{h_p + h_a}2
= 6678.136\ \text{km},
\qquad
e = \frac{h_a - h_p}{2a}
= 0.015.
$$

Compute the semilatus rectum and the mean motion:

$$
p = a(1-e^2) = 6676.639\ \text{km},
\qquad
n = \sqrt{\frac{GM_E}{a^3}} = 99.9538\ \text{rad/day}.
$$

Step2: Use the secular J2-driven perigee precession relation:

$$
\frac{\mathrm{d}\omega}{\mathrm{d}t}
= \frac{3}{4}\,n\,J_2\left(\frac{R_E}{p}\right)^2\left(4-5\sin^2 i\right).
$$

Solve for $J_2$:

$$
J_2
= \frac{4}{3n}
\frac{\mathrm{d}\omega}{\mathrm{d}t}
\left(\frac{p}{R_E}\right)^2
\frac{1}{4-5\sin^2 i}.
$$

Convert the given rate to radians/day:

$$
\left(\frac{\mathrm{d}\omega}{\mathrm{d}t}\right)_{\mathrm{rad/day}}
=
\left(\frac{\mathrm{d}\omega}{\mathrm{d}t}\right)_{\mathrm{deg/day}}
\cdot\frac{\pi}{180}.
$$

Step3: Substitute $i=80^\circ$, $\frac{\mathrm{d}\omega}{\mathrm{d}t}=12^\circ/\text{day}$,
and the computed $p$ and $n$ into the expression above.

Get:

$$
J_2 \approx -0.00348.
$$

Final_answer:  $\boxed{J_2=-0.00348}$
",$\boxed{J_2=-0.00348}$,No,
0.637,"Derive the limiting magnitude for naked-eye visibility of a star in a dark-sky environment, by considering an analogy to a CCD camera. Assume that the dominant noise source is $\sqrt{n}$ photon shot noise, and visibility requires $\mathrm{SNR}>1$.

The dark-adapted pupil diameter is 7.0 mm, the quantum efficiency is 3%, and the effective exposure time is 42 ms.

The visible solar flux is $5.23\times10^{2}$ W/m$^2$ with apparent magnitude -26.8. Assume $\lambda=505$ nm.","
Step1: For a CCD-like detector dominated by photon shot noise, the signal-to-noise ratio is

$$
\mathrm{SNR} = \sqrt{n} = \sqrt{IQt},
$$

where $I$ is the photon rate entering the pupil, $Q$ is the quantum efficiency,
and $t$ is the effective integration time.

Requiring $\mathrm{SNR}=1$ gives

$$
1 = \sqrt{IQt} \quad \Rightarrow \quad I = \frac{1}{Qt}.
$$

Substituting $Q=0.03$ and $t=0.04\,\mathrm{s}$,

Get:

$$
I \approx 6.97\times10^{2}\ \text{photons s}^{-1}.
$$

Step2: Each photon at wavelength $\lambda=505\,\mathrm{nm}$ has energy

$$
E_\gamma = \frac{hc}{\lambda}.
$$

Thus the optical power entering the pupil is

$$
P = I E_\gamma \approx 2.74\times10^{-16}\ \mathrm{W}.
$$

With pupil radius $r=3.5\,\mathrm{mm}$, the pupil area is

$$
A = \pi r^2.
$$

Hence the limiting flux is

$$
F_\mathrm{limit} = \frac{P}{A} \approx 7.18\times10^{-12}\ \mathrm{W\,m}^{-2}.
$$

Step3: Using the Sun as a photometric reference,

$$
m_\mathrm{limit} = m_\odot
-2.5\log_{10}\left(\frac{F_\mathrm{limit}}{F_\odot}\right).
$$

With $m_\odot=-26.8$ and
$F_\odot=5.23\times10^{2}\,\mathrm{W\,m}^{-2}$,

Get:

$$
m_\mathrm{limit} \approx 7.9.
$$

Final_answer:  $\boxed{M_\mathrm{limit} \approx 7.9}$
",$\boxed{M_\mathrm{limit} \approx 7.9}$,No,
0.637,"In a binary neutron star system, two identical neutron stars of mass $M$ each undergo a circular orbit of radius $R$ around their center of mass. The system can be approximated as Newtonian circular orbits.

Astronomers measure $R = 0.577\,\text{AU}$ and the orbital period $P = 502.2\,\text{days}$. Calculate $M$, the mass of each neutron star, in solar masses.","Solution Steps:
Step 1: Relate the measured orbit to the relative two-body orbit.
For two identical masses $M$ orbiting the center of mass with radius $R$, the separation between the stars is
$$a = 2R,$$
and the total mass entering Kepler's third law is
$$M_1 + M_2 = 2M.$$

Step 2: Apply Kepler's Third Law to the relative orbit.
Kepler's third law for a two-body system is
$$G(M_1+M_2)P^2 = 4\pi^2 a^3.$$
Substitute $M_1+M_2=2M$ and $a=2R$:
$$G(2M)P^2 = 4\pi^2(2R)^3 = 32\pi^2 R^3.$$
Solve for $M$:
$$M = \frac{16\pi^2 R^3}{G P^2}.$$

Step 3: Convert units and compute.
Use:
$$1\,\text{AU} = 1.496\times 10^{11}\,\text{m},\quad 1\,\text{day}=86400\,\text{s},\quad G=6.674\times 10^{-11}\,\text{m}^3/(\text{kg}\cdot\text{s}^2),$$
$$1\,M_\odot = 1.989\times 10^{30}\,\text{kg}.$$

Convert $R$ and $P$:
$$R = 0.577\,\text{AU} = 8.638717\times 10^{10}\,\text{m},$$
$$P = 502.2\,\text{days} = 4.338688\times 10^{7}\,\text{s}.$$ 

Substitute into the formula:
$$M = \frac{16\pi^2 R^3}{G P^2}$$
$$M = \frac{16\pi^2(8.638717\times 10^{10}\,\text{m})^3}{(6.674\times 10^{-11}\,\text{m}^3/(\text{kg}\cdot\text{s}^2))(4.338688\times 10^{7}\,\text{s})^2} = 8.103345\times 10^{29}\,\text{kg}.$$ 

Convert to solar masses:
$$M = \frac{8.103345\times 10^{29}\,\text{kg}}{1.989\times 10^{30}\,\text{kg}} = 0.407\,M_\odot.$$ 

Final_answer: $\boxed{M = 0.407\,M_\odot}$","$\boxed{M = 0.407\,M_\odot}$",No,
0.735,"A spherical star cluster, which appears from Earth under a solid angle of 0.000194 sr, contains approximately 344,538 stars and has an apparent bolometric magnitude of m_bol = 4.91 mag. The spherical cluster is at rest, meaning the velocities of the stars are zero.

Estimate the distance to the cluster as well as the mean angular separation between its stars. Ignore interstellar extinction. Also, compute the objective lens diameter of a telescope required to distinguish two stars of the cluster in the optical. State any assumptions you made.","Step 1: Estimate the total luminosity of the cluster.
Assume all stars are Sun-like, so each has luminosity L_⊙. Then the total luminosity is
L = N L_⊙  ⇒  L/L_⊙ = N.
Convert luminosity to absolute bolometric magnitude using Pogson’s law:
M_bol = M_{bol,⊙} − 2.5 log10(L/L_⊙)
M_bol = 4.80 − 2.5 log10(344538) = -9.04

Step 2: Use the distance modulus (no extinction) to solve for distance.
m_bol − M_bol = 5 log10(d/pc) − 5
⇒ d = 10^{(m_bol − M_bol + 5)/5} pc
d = 10^((4.91 − (-9.04) + 5)/5) = 6.17e+03 pc

Step 3: Estimate the mean angular separation between stars.
Assume the stars are uniformly distributed across the cluster’s apparent solid angle Ω.
Then the mean solid angle per star is
Ω_star = Ω / N.
Ω_star = (0.000194) / (344538) = 5.645e-10 sr
A characteristic angular spacing θ can be estimated by treating Ω_star ~ θ^2:
θ ≈ sqrt(Ω_star)
θ ≈ sqrt(5.645e-10) = 2.376e-05 rad ≈ 4.90 arcsec

Step 4: Telescope diameter needed to resolve two stars (diffraction limit).
Using the Rayleigh criterion for a circular aperture:
θ = 1.22 λ / D  ⇒  D = 1.22 λ / θ
Take λ = 5.000e-07 m (optical).
D = 1.22(5.000e-07)/(2.376e-05) = 2.57e-02 m

Final Answers:
Distance: \boxed{d \approx 6.17e+03\ \mathrm{pc}}
Mean angular separation: \boxed{\theta \approx 4.90\ \mathrm{arcsec}}
Objective diameter: \boxed{D \approx 2.57e-02\ \mathrm{m}}","Distance: \boxed{d \approx 6.17e+03\ \mathrm{pc}}
Mean angular separation: \boxed{\theta \approx 4.90\ \mathrm{arcsec}}
Objective diameter: \boxed{D \approx 2.57e-02\ \mathrm{m}}",No,
0.735,"Imagine you are on Ganymede and want to escape its parent planet. If Ganymede is currently at a distance of 21,773 km from the planet’s center and has an orbital speed of 1.73 km/s, how much additional speed (Δv) is required to escape the planet’s gravity? The mass of the planet is 6.25e+26 kg.","Step 1: Write down the escape velocity formula at a distance R from the planet’s center.

$v_{\mathrm{escape}} = \sqrt{\frac{2GM}{R}}$

Step 2: Substitute the known values, converting kilometers to meters.

$v_{\mathrm{escape}} = \sqrt{\frac{2 \times 6.673e-11 \times 6.25e+26}{2.177e+07}}$

Step 3: Compute the escape velocity.

$v_{\mathrm{escape}} \approx 61.878\ \mathrm{km/s}$

Step 4: Compute the additional speed (Δv) required by subtracting the current orbital speed.

$\Delta v = v_{\mathrm{escape}} - v_{\mathrm{orbital}} = 61.878 - 1.727$

Step 5: Final numerical result.

$\boxed{\Delta v \approx 60151\ \mathrm{m/s}}$",$\boxed{\Delta v \approx 60151\ \mathrm{m/s}}$,No,
0.735,"Suppose a rocket orbits a star of mass M = 5.94e+30 kg in a circular orbit of radius R = 9.19e+08 m. The rocket wishes to transfer to a larger circular orbit of radius 5R using a Hohmann transfer.

The transfer consists of two instantaneous burns and has a total delta-v of

    Δv = k √(GM / R).

Compute the dimensionless coefficient k.","Step 1: Use the vis-viva equation for orbital speed:

    v = √[ GM ( 2/r − 1/a ) ].

The initial orbit is circular with radius r = R, so its speed is

    v₁ = √(GM / R).

The transfer orbit is an ellipse with periapsis R and apoapsis αR, so its semi-major axis is

    a = (R + αR)/2 = (α + 1)R / 2.

Evaluating the speed on the transfer orbit at r = R gives

    v_p = √(GM / R) √(2α / (α + 1)).

Thus, the first burn is

    Δv₁ = √(GM / R) [ √(2α / (α + 1)) − 1 ].

Step 2: At the outer orbit (r = αR), the circular orbital speed is

    v₂ = √(GM / (αR)) = √(GM / R) · 1/√α.

The speed on the transfer orbit at r = αR is

    v_a = √(GM / R) · (1/√α) √(2 / (α + 1)).

The second burn is therefore

    Δv₂ = √(GM / R) · (1/√α) [ 1 − √(2 / (α + 1)) ].

Step 3: Add the two burns to obtain the total delta-v:

    Δv = √(GM / R) { √(2α / (α + 1)) − 1
          + (1/√α)[ 1 − √(2 / (α + 1)) ] }.

Step 4: Identifying the coefficient of √(GM / R), we find

    k = 0.480009.

This is the required dimensionless factor for the Hohmann transfer.","k = 0.480009.

",No,
0.833,"An astronomer was studying the exoplanets orbiting a star with a mass of 18.3 $M_\odot$. The astronomer decided to draw a $\log T$ vs. $\log a$ plot for the exoplanet orbits, where $T$ corresponds to the orbital period in years and $a$ corresponds to the semi-major axis in AU. What would be the slope of the best-fit line to this plot? (Assume base-10 logarithms.)","Step 1: Using Kepler’s Third Law in astronomical units (years, AU, and solar masses),
the law can be written as:

    T² / a³ = 1 / M

where T is the orbital period, a is the semi-major axis, and M is the stellar mass.

Step 2: Rearrange the equation to solve for T²:

    T² = a³ / M

Step 3: Take the base-10 logarithm of both sides:

    log(T²) = log(a³ / M)

Step 4: Apply logarithmic identities:

    2 log T = 3 log a − log M

Step 5: Solve for log T:

    log T = (3/2) log a − (1/2) log M

Step 6: The coefficient of log a gives the slope of the log T vs. log a plot.

Thus, the slope is independent of stellar mass.",The slope of the best-fit line is 3/2.,No,
0.735,"A recently observed exosolar system consists of a star, a planet, and the planet's satellite. The satellite has a revolution period of 123 minutes around the planet, and the planet has a 118-day revolution period around the star. The satellite approaches the surface of the planet to a minimum height of 1609 km and recedes to a maximum height of 5635 km. The radius of the planet is 4180 km. If the ratio of the mass of the star to the mass of the planet is 1.0e+05, what is the semi-major axis of the planet's revolution around the star? Assume that the mass of the satellite is much smaller than the mass of the planet.","Step 1: Determine the semi-major axis of the satellite's orbit.
The pericenter distance is r_p = R + h_min = 4180 + 1609 = 5789 km.
The apocenter distance is r_a = R + h_max = 4180 + 5635 = 9815 km.
Thus, the semi-major axis is
a_sat = (r_p + r_a)/2 = (5789 + 9815)/2 = 7802 km.

Step 2: Apply Kepler’s third law to both orbits.
For the satellite around the planet:
T_sat = 2π√(a_sat³ / Gm).
For the planet around the star:
T_p = 2π√(a_p³ / GM).

Step 3: Divide the two equations and simplify, using m_sat ≪ m ≪ M.
(T_p / T_sat)² = (a_p³ / a_sat³) · (m / M).
Since M/m = 1.0e+05, we obtain
a_p³ = a_sat³ · (M/m) · (T_p / T_sat)².

Step 4: Substitute numerical values.
T_p = 118 × 24 × 60 = 169920 minutes,
T_sat = 123 minutes.
a_p³ = (7802 km)³ × 1.0e+05 × (169920/123)².

Step 5: Take the cube root to find the semi-major axis.
a_p ≈ 4.49e+07 km.

Final Answer: a_p ≈ 4.49e+07 km.",a_p ≈ 4.49e+07 km,No,
0.735,"A cylindrical space station rotates about its central axis to produce artificial gravity via centripetal acceleration. If the station has a radius of 55.1 m, what rotational period is required so that inhabitants experience an effective gravity equal to 8.56 m/s²?","Step 1: For a rotating reference frame, the artificial (spin) gravity is provided by the centripetal acceleration:
        a = ω² r

Step 2: To simulate Earth-like gravity, we set a = g:
        g = ω² r

Step 3: Solve for the angular velocity ω:
        ω = √(g / r) = √(8.56 / 55.1) = 0.394 s⁻¹

Step 4: Convert angular velocity to rotational period using:
        T = 2π / ω

        T = 2π / 0.394 = 15.94 s

Final Answer: The required rotational period is T ≈ 15.94 s.",The required rotational period is T ≈ 15.94 s.,No,
0.735,"If the space station is too small, inhabitants might experience unwanted effects of being in a rotating reference frame, such as the Coriolis ""force"" on moving objects: $\vec{F} = -2m\vec{\omega} \times \vec{v}$, where $\vec{\omega}$ is the angular velocity vector of the space station and $\vec{v}$ is the velocity of the object in the rotating reference frame.
For a space station with spin gravity equal to Earth's gravity, what is the minimum radius needed so that a person walking at 1.39954 m/s in any direction experiences negligible Coriolis force (< 0.773223% of Earth's gravity)?","Step 1: Use the Coriolis acceleration magnitude in the worst case (velocity perpendicular to the spin axis).

$a_c = 2\omega v$

Step 2: Use spin gravity \(g=\omega^2 r\) to eliminate \(\omega\).\n\n$\omega=\sqrt{\frac{g}{r}}$

Step 3: Impose the negligible condition \(a_c < f g\) and solve for \(r\).\n\n$r > \frac{4v^2}{f^2 g},\quad f=0.008$

Step 4: Compute the numerical radius.

$r \approx 13.358\ \text{km}$

$\boxed{r > 13.358 \, \text{km}}$","${r > 13.358 \, \text{km}}$",No,
0.637,"Just before dawn of the summer solstice, Christopher the sailor begins sailing due West from -40°N, 154°W. His watch is set to UTC. On seeing his 309st sunrise at sea, his watch reads 15:00am. What is his longitude? (The equation of time, in the convention solar time minus mean time, is 2 minutes on the summer solstice and 2 minutes on the autumnal equinox)","Step 1: Relate local solar time (LST) and local mean time (LMT) using the equation of time.

$\mathrm{EoT}=\mathrm{LST}-\mathrm{LMT}$

On the autumnal equinox, the equation of time is:

$\mathrm{EoT}=2\ \mathrm{min}$

At sunrise on an equinox, local solar time is:

$\mathrm{LST}=6^{\mathrm{h}}$

So the local mean time at sunrise is:

$\mathrm{LMT}=\mathrm{LST}-\mathrm{EoT}=6^{\mathrm{h}}-2^{\mathrm{m}}=5^{\mathrm{h}}52^{\mathrm{m}}$

Step 2: Compare local mean time to UTC to get the longitude in time units.

$\lambda_{\mathrm{time}}=\mathrm{LMT}-\mathrm{UTC}=5^{\mathrm{h}}52^{\mathrm{m}}-15^{\mathrm{h}}00^{\mathrm{m}}=2^{\mathrm{h}}52^{\mathrm{m}}$

Step 3: Convert hours to degrees using 15° per hour.

$\lambda=15^\circ\times\left(2+\frac{52}{60}\right)= -135^\circ$

Final_answer:  $\boxed{\lambda = -135^\circ W}$",$\boxed{\lambda = -135^\circ W}$,No,
0.735,"Evan uses a telescope of focal distance f = 688 mm to observe a star known to have a parallax p = 93 mas. Observing the CCD of the telescope, Evan notices that the star has a diameter D = 0.949 µm. Furthermore, he measures its apparent magnitude to be m = 7.24. What is the approximate temperature of this star? Please, neglect the atmospheric seeing in your calculations.","Step 1: Use parallax to find the distance.
With p in arcseconds, d(pc) = 1/p.
p = 93 mas = 0.093 arcsec
d = 1/0.093 = 10.8 pc
Convert to meters: d = (10.8)(3.086×10^16 m) = 3.318e+17 m

Step 2: Convert the CCD spot size into an angular radius (small-angle approximation).
A linear radius x on the focal plane corresponds to angle θ ≈ x/f.
f = 688 mm = 6.881e-01 m
D = 0.949 µm = 9.487e-07 m, so x = D/2 = 4.743e-07 m
θ = x/f = (4.743e-07)/(6.881e-01) = 6.893e-07 rad
Then the stellar radius is R = θ d:
R = (6.893e-07)(3.318e+17) = 2.287e+11 m

Step 3: Compute the Sun’s apparent magnitude from the distance modulus at 1 AU.
m_⊙ − M_⊙ = 5 log10(a_pc) − 5, where a_pc is 1 AU in parsecs.
a_pc = AU/pc = (1.496e+11)/(3.086e+16) = 4.848e-06 pc
m_⊙ = M_⊙ + 5 log10(a_pc) − 5 = 4.83 + 5 log10(4.848e-06) − 5 = -26.74

Step 4: Use Pogson’s relation to get the flux ratio:
m − m_⊙ = −2.5 log10(F/F_⊙)  ⇒  F/F_⊙ = 10^{0.4(m_⊙ − m)}
F/F_⊙ = 10^[0.4(-26.74 − 7.24)] = 2.557e-14

Relate flux to temperature using Stefan–Boltzmann law.
Star:  L = 4πR^2σT^4  and  F = L/(4πd^2) = (R^2σT^4)/d^2.
Sun at Earth: F_⊙ = L_⊙/(4πAU^2).
Set F = F_⊙(F/F_⊙) and solve for T:
T = [ d^2 L_⊙ /(4πσR^2 AU^2) · 10^{0.4(m_⊙ − m)} ]^{1/4}
T = [ (3.318e+17)^2(3.850e+26)/(4π(5.670e-08)(2.287e+11)^2(1.496e+11)^2) · 2.557e-14 ]^(1/4)
T ≈ 190 K

Final Answer:
\boxed{T \approx 190\ \text{K}}",\boxed{T \approx 190\ \text{K}},No,
0.735,"Two exoplanets, A and B, move in circular orbits around the same central star. The ascending nodes of both orbits coincide at the same ecliptic longitude, and both planets are initially located at that point.

The orbital inclinations are i₁ = 46.2° and i₂ = 76.5°, and the orbital periods are T₁ = 2.00 yr and T₂ = 1.00 yr.

Assuming uniform angular motion, how long will it take until the two planets again share the same ecliptic longitude?","Step 1: Geometry of the orbit
For a planet with orbital inclination i and angular velocity ω, the relation between its ecliptic longitude λ and time t is obtained from spherical geometry:

    tan λ = cos i · tan(ω t)

Step 2: Condition for equal ecliptic longitude
The planets share the same ecliptic longitude again when:

    cos i₁ · tan(ω₁ t) = cos i₂ · tan(ω₂ t)

Step 3: Use the ratio of angular velocities
Since ω = 2π / T, the angular velocities satisfy:

    ω₂ / ω₁ = T₁ / T₂ = 2.00

For the present case, this leads to an algebraic equation for tan(ω₁ t).
Following the standard textbook manipulation:

    tan(ω₁ t) = √(1 − 2 cos i₂ / cos i₁)

Step 4: Solve for the time
Thus,

    t = (T₁ / 2π) · arctan[ √(1 − 2 cos i₂ / cos i₁) ]

Inserting the numerical values gives:

    t ≈ 0.165 yr ≈ 60 days

Final Answer:
    t ≈ 0.165 yr (about 60 days)",t ≈ 0.165 yr (about 60 days),No,
0.637,"Question: It is observed that a planet orbiting a star increases the observed magnitude of the system by 0.008815382385400323 when it transits across the star. Assuming that the system is viewed edge on and is orthogonal to the line of sight, determine the radius of the planet Rp in terms of the radius of the star R.","Solution Steps:
Step 1: The star presents an effective area of πR² for radiation when the planet does not obstruct any radiation. When the planet transits across the star, the effective area of radiation is πR² − πRp². 
Step 2: Change in magnitude Δm can then be expressed using the Pogson equation:
Δm = -2.5 log₁₀ ( (R² − Rp²) / R² )
Step 3: Rp = √[(1 - 10^(Δm / -2.5))] * R ≈ 0.090 * R",Final_answer: Rₚ ≈ 0.090 * R,No,
0.49,What is the focal ratio of a telescope with 1.3973820862378328 m in focal length and 7.779104514069429 cm in aperture?,"
    Step 1: The focal ratio of a telescope can be calculated by this equation:

    $f = \frac{f}{D}$

    where $f$ is the focal length of the telescope and $D$ is the aperture/diameter. Hence.

    Get:

    $f = \frac{1.3973820862378328}{7.779104514069429} = 18.0$

    Final_answer:  $\boxed{f = 18.0}$
    ",$\boxed{f = 18.0}$,No,
0.735,"A supernova is triggered largely by neutrinos. In fact, 97% of the energy coming from the supernova is released in the form of neutrinos. Over a time span of about 5.3 months, the supernova outputs visible light with power equivalent to 1.85e+10 Suns. Assuming supernova neutrinos have mean energy of around 14 MeV, that all the power of the supernova is released during the time it is visible, and that all of the power released is released in the form of either visible light or neutrinos, estimate the number of neutrinos released.","Step 1: Estimate the visible luminosity of the supernova.
L_vis = N_⊙ L_⊙
L_vis = (1.85e+10)(4.0×10^26) = 7.398e+36 J/s

Step 2: Convert visible luminosity to neutrino luminosity.
If neutrinos carry a fraction f_ν of the total energy, then:
L_ν / L_vis = f_ν / (1 − f_ν)
L_ν = (0.97/(1−0.97)) L_vis = 2.123e+38 J/s

Step 3: Convert the visible duration from months to seconds.
Assume 1 month ≈ 30 days.
t = (5.3)×30×86400 = 1.376e+07 s

Step 4: Convert the mean neutrino energy to joules.
E_ν = 14 MeV = 2.238e-12 J

Step 5: Estimate the total number of neutrinos.
N_ν = (L_ν t)/E_ν = (2.123e+38×1.376e+07)/(2.238e-12) = 1.306e+57

Final Answer (order of magnitude):
\boxed{N_\nu \approx 10^{57}}",\boxed{N_\nu \approx 10^{57}},No,
